Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3
2025-08-03T21:58:37,elevator,NORMAL,43.5,100.0,142.5,102.0
2025-08-03T21:58:38,elevator,NORMAL,44.8,100.0,142.5,143.0
2025-08-03T21:58:39,elevator,NORMAL,45.6,100.0,48.0,142.5
2025-08-03T21:58:40,gripper,NORMAL,44.9,47.5,100.0,143.0
2025-08-03T21:58:41,gripper,NORMAL,45.9,47.5,100.0,48.0
2025-08-03T21:58:42,elevator,NORMAL,46.0,47.5,100.0,48.0
2025-08-03T21:58:43,elevator,NORMAL,44.6,47.5,100.0,143.0
2025-08-03T21:58:44,elevator,NORMAL,44.2,47.5,48.0,143.0
2025-08-03T21:58:45,elevator,NORMAL,44.3,100.0,143.0,47.5
2025-08-03T21:58:46,elevator,NORMAL,44.1,100.0,73.0,143.0
2025-08-03T21:58:47,elevator,NORMAL,43.9,100.0,143.0,48.0
2025-08-03T21:58:48,elevator,NORMAL,44.3,47.5,100.0,143.0
2025-08-03T21:58:49,elevator,NORMAL,44.4,47.5,100.0,143.0
2025-08-03T21:58:50,elevator,NORMAL,45.0,47.5,100.0,48.0
2025-08-03T21:58:51,elevator,NORMAL,45.6,47.5,48.0,100.0
2025-08-03T21:58:52,elevator,NORMAL,45.3,47.5,100.0,143.0
2025-08-03T21:58:53,gripper,NORMAL,44.6,47.5,100.0,143.0
2025-08-03T21:58:54,gripper,NORMAL,44.0,100.0,48.0,143.0
2025-08-03T21:58:55,environment,NORMAL,43.6,100.0,143.0,73.5
2025-08-03T21:58:56,environment,NORMAL,44.0,47.5,100.0,143.0
2025-08-03T21:58:57,gripper,NORMAL,45.1,47.5,48.0,100.0
2025-08-03T21:58:58,shuttle,NORMAL,45.7,47.5,100.0,48.0
2025-08-03T21:58:59,environment,NORMAL,45.5,47.5,100.0,143.0
2025-08-03T21:59:00,gripper,NORMAL,45.0,47.5,48.0,100.0
2025-08-03T21:59:01,gripper,NORMAL,44.7,47.5,100.0,143.0
2025-08-03T21:59:02,environment,NORMAL,44.6,47.5,100.0,143.0
2025-08-03T21:59:03,gripper,NORMAL,44.7,100.0,143.0,47.5
2025-08-03T21:59:04,elevator,NORMAL,44.7,100.0,143.0,67.5
2025-08-03T21:59:05,gripper,NORMAL,44.2,143.0,47.5,100.0
2025-08-03T21:59:06,elevator,NORMAL,62.5,48.0,383.5,381.5
2025-08-03T21:59:07,gripper,NORMAL,62.5,47.5,383.5,370.5
2025-08-03T21:59:08,gripper,NORMAL,44.6,47.5,48.0,100.0
2025-08-03T21:59:09,environment,NORMAL,44.6,47.5,48.0,100.0
2025-08-03T21:59:10,elevator,NORMAL,44.2,47.5,100.0,143.0
