Timestamp,Component,Component_proba,Status,Status_proba,dB,TopFreq1,TopFreq2,TopFreq3,TopFreq4,TopFreq5,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
2025-07-30T14:56:24,elevator,1.00,Anomaly,,105.3,352.6,894.0,680.8,826.6,1170.3,-69.93,85.52,0.46,7.40,0.64,3.87,0.88,10.83,-0.57,-4.96,4.60,-5.55,-4.99
2025-07-30T14:56:25,elevator,1.00,Anomaly,,107.5,352.8,613.0,729.1,1117.3,1224.7,-10.45,44.00,8.39,3.16,-1.86,-1.30,-3.65,10.37,-2.51,-1.73,7.34,-4.18,-0.60
2025-07-30T14:56:26,elevator,1.00,Anomaly,,106.2,594.4,732.0,975.0,314.4,2861.3,-47.44,65.66,5.21,6.02,-1.19,-1.56,-1.81,11.23,0.43,-3.85,5.46,-6.07,-2.68
2025-07-30T14:56:27,elevator,0.99,Anomaly,,103.4,357.5,904.3,1178.4,1087.8,820.6,-85.81,91.26,-0.25,8.73,-0.00,3.18,1.97,11.73,2.91,-6.36,2.46,-6.67,-7.71
2025-07-30T14:56:28,elevator,1.00,Anomaly,,106.9,352.8,1089.6,745.5,473.8,938.3,-31.24,61.10,0.93,8.07,-1.70,-3.76,1.69,9.75,0.73,-2.76,3.98,-2.44,-4.78
2025-07-30T14:56:29,elevator,0.99,Anomaly,,107.1,732.3,595.2,3408.1,976.6,798.9,-27.07,60.23,1.72,3.72,-0.08,-4.04,2.33,8.97,-0.78,-2.51,3.91,-1.31,-3.45
2025-07-30T14:56:30,elevator,0.99,Anomaly,,103.7,353.2,680.7,1130.1,625.0,977.3,-83.29,93.53,-1.95,4.71,2.24,4.95,3.04,11.71,0.24,-6.12,3.17,-4.57,-5.24
2025-07-30T14:56:31,elevator,1.00,Anomaly,,106.1,357.8,300.2,480.0,718.6,648.1,-50.20,70.34,1.48,5.80,-0.27,1.36,-0.28,10.98,-1.50,-3.13,6.04,-4.05,-1.73
2025-07-30T14:56:32,elevator,1.00,Anomaly,,107.4,586.4,819.1,765.6,5649.4,1708.6,-8.60,39.84,7.76,2.31,-0.87,-0.96,-1.95,9.76,-2.35,-1.24,7.36,-4.64,-1.12
2025-07-30T14:56:33,elevator,1.00,Anomaly,,105.1,732.2,594.2,2753.5,355.7,5797.5,-69.26,79.16,1.93,7.31,1.14,2.65,0.97,12.39,1.40,-5.19,4.85,-7.13,-5.50
2025-07-30T14:56:34,elevator,0.99,Anomaly,,104.8,343.8,1170.2,747.8,395.1,452.6,-74.99,86.80,-2.03,9.52,0.63,1.91,2.77,12.13,3.08,-5.88,3.39,-5.67,-7.42
2025-07-30T14:56:35,elevator,1.00,Anomaly,,107.4,353.1,920.5,811.1,738.1,301.9,-14.67,50.46,2.94,6.43,-1.21,-3.84,1.05,8.63,0.13,-1.10,4.51,-1.87,-4.56
2025-07-30T14:56:36,elevator,0.97,Anomaly,,106.4,621.3,731.7,870.7,567.4,352.1,-46.59,72.90,1.47,5.90,-0.01,-2.85,1.54,8.85,0.28,-1.61,4.88,-2.62,-4.87
2025-07-30T14:56:37,elevator,0.98,Anomaly,,103.8,352.8,732.5,681.0,943.2,822.7,-83.66,92.70,-0.32,4.23,2.26,4.52,0.91,12.16,1.19,-5.45,4.46,-6.40,-6.78
2025-07-30T14:56:38,elevator,1.00,Anomaly,,106.9,357.0,731.4,1084.7,300.3,1220.4,-30.94,57.74,5.08,5.43,0.22,0.52,-2.18,9.96,-1.78,-3.08,6.34,-5.79,-3.33
2025-07-30T14:56:39,elevator,1.00,Anomaly,,107.3,567.3,733.8,352.8,621.3,2857.0,-20.87,51.95,7.95,3.98,-0.76,-1.06,-1.97,10.63,-1.51,-3.04,6.02,-6.22,-2.67
2025-07-30T14:56:40,elevator,0.98,Anomaly,,104.2,354.9,301.3,809.6,748.6,1074.3,-81.03,88.04,1.56,8.41,-0.25,4.63,0.69,12.93,1.88,-7.03,3.94,-6.75,-6.29
2025-07-30T14:56:41,elevator,0.98,Anomaly,,105.7,354.1,1124.8,637.1,910.8,704.8,-59.37,75.46,-0.26,10.17,-0.40,-1.44,1.64,10.47,1.80,-4.45,4.54,-3.42,-6.11
2025-07-30T14:56:42,elevator,0.98,Anomaly,,107.5,730.0,842.8,608.7,478.1,315.0,-11.31,49.18,4.12,3.57,0.21,-6.98,1.50,8.13,-1.36,-0.75,4.43,-1.26,-4.56
2025-07-30T14:56:43,elevator,0.97,Anomaly,,105.5,589.0,357.4,653.0,732.4,799.2,-67.01,85.72,-1.90,6.23,1.88,0.30,2.32,8.60,-0.42,-4.08,3.97,-3.19,-5.42
2025-07-30T14:56:44,elevator,1.00,Anomaly,,104.9,354.5,964.2,754.4,673.4,1128.4,-72.56,85.39,-1.08,5.39,1.84,4.12,0.48,11.13,0.27,-4.26,4.80,-5.01,-4.42
2025-07-30T14:56:45,elevator,1.00,Anomaly,,107.5,1220.7,1170.0,815.7,733.3,1068.8,-11.39,44.73,7.36,2.98,-0.67,0.04,-2.45,10.11,-2.24,-1.08,7.01,-4.70,-1.00
2025-07-30T14:56:46,elevator,1.00,Anomaly,,106.5,594.8,732.4,354.5,2623.9,1136.4,-42.56,64.71,5.59,5.47,-0.55,0.05,0.41,11.93,0.37,-3.32,5.11,-6.49,-2.97
2025-07-30T14:56:47,elevator,0.99,Anomaly,,103.4,743.4,356.1,1125.8,1070.3,927.1,-85.57,92.15,-0.14,7.53,-0.66,3.35,2.72,13.50,3.70,-6.09,2.26,-6.81,-7.29
2025-07-30T14:56:48,elevator,0.99,Anomaly,,106.7,352.0,1095.7,1182.1,947.4,827.4,-36.77,63.71,1.59,8.32,-1.65,-3.08,0.64,8.86,1.46,-1.74,4.76,-2.75,-4.89
2025-07-30T14:56:49,elevator,0.99,Anomaly,,107.3,3408.1,733.8,593.9,353.2,799.7,-23.06,56.83,3.66,3.67,0.17,-4.55,1.52,7.13,-0.59,-0.00,4.27,-2.07,-4.19
2025-07-30T14:56:50,elevator,1.00,Anomaly,,104.3,354.6,780.1,707.5,617.9,976.4,-80.88,92.85,-1.39,5.05,1.65,3.00,1.71,10.69,0.21,-5.15,2.47,-5.70,-6.39
2025-07-30T14:56:51,elevator,1.00,Anomaly,,106.0,354.5,303.8,689.3,419.2,813.8,-54.85,74.74,2.32,7.02,0.15,1.23,-1.29,10.65,-1.15,-3.86,4.54,-6.01,-3.56
2025-07-30T14:56:52,elevator,1.00,Anomaly,,107.5,353.0,615.0,975.1,1730.9,1173.8,-6.92,39.91,8.91,3.14,-0.72,-1.51,-3.39,9.59,-1.94,-1.78,6.10,-5.60,-1.45
2025-07-30T14:56:53,elevator,1.00,Anomaly,,105.4,595.2,732.5,1135.6,349.5,3267.1,-63.10,75.64,2.68,5.92,0.74,1.32,-0.27,11.99,0.59,-5.46,4.87,-6.75,-4.76
2025-07-30T14:56:54,elevator,0.96,Anomaly,,104.3,1093.4,307.7,898.9,781.0,1166.0,-78.04,88.61,-2.08,7.37,-0.19,1.86,2.78,12.59,3.08,-6.26,3.54,-4.91,-7.22
2025-07-30T14:56:55,elevator,1.00,Anomaly,,107.3,1119.9,912.4,347.1,825.6,5091.4,-18.57,52.50,1.99,6.11,-2.02,-4.14,1.65,9.43,1.20,-1.19,4.90,-1.46,-4.80
2025-07-30T14:56:56,elevator,0.99,Anomaly,,106.7,594.3,731.7,1101.1,2833.1,3399.5,-40.02,68.70,0.68,3.69,-0.80,-3.11,2.54,9.09,0.99,-1.45,4.40,-2.60,-4.59
2025-07-30T14:56:57,elevator,0.99,Anomaly,,103.6,354.9,733.9,1120.2,1221.2,936.5,-84.42,93.71,-1.63,3.35,2.00,5.79,2.73,12.61,1.44,-6.69,3.27,-5.96,-5.85
2025-07-30T14:56:58,elevator,1.00,Anomaly,,106.6,307.3,360.1,730.4,832.5,1100.4,-35.78,59.31,3.64,5.76,0.25,1.54,-0.62,10.56,-1.44,-3.40,5.76,-5.04,-1.71
2025-07-30T14:56:59,elevator,1.00,Anomaly,,107.2,567.0,731.7,623.6,2823.7,3280.7,-17.39,46.93,7.82,3.85,-0.79,-0.97,-1.51,10.04,-0.95,-1.33,6.94,-5.01,-1.51
2025-07-30T14:57:00,elevator,0.98,Anomaly,,104.5,358.6,745.7,1730.5,830.1,686.9,-78.69,85.99,1.75,8.85,0.32,4.84,1.20,11.56,1.22,-7.12,4.74,-6.16,-5.87
2025-07-30T14:57:01,elevator,0.99,Anomaly,,105.6,353.0,933.5,732.6,1155.6,999.3,-63.69,79.45,-0.43,10.47,-0.29,0.51,2.63,10.41,1.31,-6.11,3.77,-4.17,-5.73
2025-07-30T14:57:02,elevator,0.99,Anomaly,,107.4,352.5,782.7,727.0,1169.0,673.3,-10.55,48.70,5.16,4.58,-0.32,-4.93,1.68,8.96,-0.59,-0.32,4.93,-0.69,-3.27
2025-07-30T14:57:03,elevator,0.89,Anomaly,,105.7,568.3,631.9,731.9,2866.5,3382.6,-60.57,81.87,-0.59,6.06,0.05,-1.54,2.26,9.64,0.30,-3.22,5.25,-2.47,-5.20
2025-07-30T14:57:04,elevator,0.98,Anomaly,,104.4,357.3,732.5,1094.9,1175.7,963.9,-76.78,88.83,-1.24,4.70,0.28,3.60,1.34,12.46,0.87,-5.38,4.81,-5.47,-5.12
2025-07-30T14:57:05,elevator,1.00,Anomaly,,107.5,342.7,1078.7,734.5,672.9,960.3,-15.19,48.32,6.19,3.18,-1.21,0.77,-1.63,10.84,-2.39,-2.08,6.72,-4.42,-0.65
2025-07-30T14:57:06,elevator,1.00,Anomaly,,106.9,594.1,353.0,732.0,977.0,3410.6,-35.03,59.46,6.14,5.31,0.03,0.59,-0.24,11.02,-0.84,-3.53,5.71,-6.36,-3.02
2025-07-30T14:57:07,elevator,0.97,Anomaly,,103.6,353.6,738.6,810.3,1174.4,950.0,-84.82,92.54,-0.49,6.56,-0.49,5.00,3.77,13.73,3.07,-7.19,3.08,-6.73,-7.32
2025-07-30T14:57:08,elevator,0.99,Anomaly,,106.5,905.9,1095.3,1172.9,350.7,705.3,-42.44,68.34,-0.08,6.90,-2.39,-2.63,2.52,9.99,0.80,-4.11,4.25,-2.24,-4.31
2025-07-30T14:57:09,elevator,0.97,Anomaly,,107.3,592.6,525.0,731.4,353.8,3383.7,-18.08,52.47,3.90,2.85,-0.65,-5.92,1.23,7.39,-0.84,-1.00,4.84,-0.48,-3.29
2025-07-30T14:57:10,elevator,0.98,Anomaly,,104.6,584.7,732.1,1160.5,1369.4,1221.8,-77.65,90.88,-0.91,6.47,1.03,1.45,0.85,9.21,0.64,-4.69,4.10,-3.62,-5.67
2025-07-30T14:57:11,elevator,1.00,Anomaly,,105.6,360.5,307.2,682.2,476.3,618.4,-61.49,78.38,1.46,7.46,-0.10,2.75,-1.71,9.50,-2.19,-4.39,4.98,-4.75,-2.98
2025-07-30T14:57:12,elevator,1.00,Anomaly,,107.5,352.6,829.4,1162.8,619.4,679.7,-7.03,39.44,8.83,2.78,-0.91,0.02,-2.80,10.22,-3.08,-1.40,6.90,-4.86,-0.67
2025-07-30T14:57:13,elevator,0.99,Anomaly,,105.7,594.4,731.8,976.0,1135.9,2625.1,-58.45,71.08,4.77,7.75,1.28,1.29,-0.11,12.13,1.00,-4.00,5.63,-6.19,-4.75
2025-07-30T14:57:14,elevator,0.98,Anomaly,,104.0,353.1,1095.9,1170.7,894.8,961.1,-80.57,88.90,-1.18,8.87,0.00,2.21,1.91,12.13,2.93,-6.09,3.05,-5.49,-8.04
2025-07-30T14:57:15,elevator,1.00,Anomaly,,107.3,353.3,1083.0,720.8,823.1,932.5,-22.07,55.42,1.72,6.79,-1.97,-4.32,1.14,9.03,0.53,-1.40,4.81,-2.23,-4.81
2025-07-30T14:57:16,elevator,0.97,Anomaly,,106.9,732.3,353.4,595.6,3407.1,799.4,-35.09,64.85,1.52,3.92,-0.08,-3.96,1.52,8.21,0.61,-1.39,4.94,-1.61,-3.79
2025-07-30T14:57:17,elevator,0.98,Anomaly,,103.4,358.2,731.9,620.1,1171.7,1119.6,-84.93,92.28,-1.61,3.76,2.59,5.05,1.49,11.59,1.29,-6.46,3.97,-4.49,-5.35
