x,y,label,group
-35.03263,-12.010115,0,mast_20250730_143823_784
-42.847042,-9.824889,0,mast_20250730_143824_791
-8.875564,-48.526913,0,mast_20250730_143825_787
-5.312599,-30.696947,0,mast_20250730_143826_771
-13.676677,-27.16289,0,mast_20250730_143827_784
-36.890995,-10.220572,0,mast_20250730_143828_778
-7.776747,-55.32639,0,mast_20250730_143829_794
-9.592478,-35.308563,0,mast_20250730_143830_794
-8.049782,-30.493958,0,mast_20250730_143831_804
-34.053757,-11.799172,0,mast_20250730_143832_788
-43.214294,-8.686464,0,mast_20250730_143833_799
-8.288497,-52.43857,0,mast_20250730_143834_794
-7.733398,-31.263363,0,mast_20250730_143835_782
-13.558006,-27.236504,0,mast_20250730_143836_793
-36.01174,-10.8912,0,mast_20250730_143837_781
-9.547557,-54.3847,0,mast_20250730_143838_794
-9.763772,-35.576572,0,mast_20250730_143839_785
-6.300513,-31.39169,0,mast_20250730_143840_778
-33.707264,-12.7183275,0,mast_20250730_143841_781
-39.137424,-8.462496,0,mast_20250730_143842_777
-6.852312,-52.919926,0,mast_20250730_143843_784
-8.854178,-32.818653,0,mast_20250730_143844_809
-9.856495,-31.625732,0,mast_20250730_143845_802
-34.961906,-10.983482,0,mast_20250730_143846_792
-43.164455,-8.521485,0,mast_20250730_143847_802
-9.008173,-48.481297,0,mast_20250730_143848_790
-5.029576,-30.803751,0,mast_20250730_143849_801
-32.010178,-13.198625,0,mast_20250730_143850_794
-37.49094,-8.780291,0,mast_20250730_143851_784
-11.198761,-55.226463,0,mast_20250730_143852_790
-9.647941,-33.871845,0,mast_20250730_143853_782
-6.0122433,-29.541752,0,mast_20250730_143854_793
-33.77889,-10.903901,0,mast_20250730_143855_782
-40.01088,-9.008595,0,mast_20250730_143856_775
-6.467692,-50.920853,0,mast_20250730_143857_785
-5.00451,-31.383179,0,mast_20250730_143858_775
-13.199707,-29.059408,0,mast_20250730_143859_799
-30.774824,-35.951054,0,mast_20250819_093017_236
-26.620613,-17.887335,0,mast_20250819_093018_235
-43.364433,1.0189463,0,mast_20250819_093019_243
-58.085255,-4.606676,0,mast_20250819_093020_231
-39.763508,-35.8063,0,mast_20250819_093021_235
-32.696514,-37.696724,0,mast_20250819_093022_236
-31.829023,-24.735405,0,mast_20250819_093023_225
-28.93363,-0.5702044,0,mast_20250819_093024_219
-45.037804,-0.21929714,0,mast_20250819_093025_228
-38.448864,-27.160866,0,mast_20250819_093026_228
-38.915817,-37.281136,0,mast_20250819_093027_239
-31.598726,-38.25755,0,mast_20250819_093028_233
-30.870512,-26.471842,0,mast_20250819_093029_221
-38.17801,2.3698132,0,mast_20250819_093030_232
-52.139698,-4.716541,0,mast_20250819_093031_257
-39.552593,-31.985523,0,mast_20250819_093032_255
-34.341557,-39.16483,0,mast_20250819_093033_247
