x,y,label,group
-38.46691,-13.67409,0,mast_20250819_093116_372
-36.44341,-5.9347224,0,mast_20250819_093121_355
-40.63885,-14.820541,0,mast_20250819_093122_360
-37.747253,-9.344154,0,mast_20250819_093127_336
-37.851803,-19.215876,0,mast_20250819_093128_337
-28.095684,-1.346766,0,mast_20250819_093131_366
-39.833218,-12.256455,0,mast_20250819_093133_347
-41.512558,-22.774313,0,mast_20250819_093134_353
-30.23937,-6.901989,0,mast_20250819_093138_361
-39.63927,-15.437083,0,mast_20250819_093139_335
1.9556111,-34.265553,0,mast_20250822_143751_229
6.628268,-38.95668,0,mast_20250822_143752_213
11.339977,-42.00713,0,mast_20250822_143753_213
23.757622,-46.751312,0,mast_20250822_143754_222
32.17547,-42.57889,0,mast_20250822_143755_214
-1.6279235,-29.973595,0,mast_20250822_143756_227
9.234346,-38.910904,0,mast_20250822_143757_203
12.392324,-41.718548,0,mast_20250822_143758_210
28.462116,-44.58942,0,mast_20250822_143759_216
2.1197572,-28.865257,0,mast_20250822_143800_200
1.5237385,-32.61791,0,mast_20250822_143801_216
6.2773476,-38.362087,0,mast_20250822_143802_201
11.718859,-42.19091,0,mast_20250822_143803_196
23.364214,-47.011734,0,mast_20250822_143804_257
31.81153,-43.013462,0,mast_20250822_143805_273
-1.57815,-29.068094,0,mast_20250822_143806_273
0.87014705,-34.400623,0,mast_20250822_143807_266
15.017121,-44.259106,0,mast_20250822_143808_281
28.258648,-44.753407,0,mast_20250822_143809_256
29.940424,-39.936005,0,mast_20250822_143810_278
2.1594107,-32.527786,0,mast_20250822_143811_267
6.80655,-39.506428,0,mast_20250822_143812_260
10.687804,-41.974625,0,mast_20250822_143813_268
23.146828,-47.436127,0,mast_20250822_143814_260
24.931599,-44.845566,0,mast_20250822_143815_270
-1.5626482,-28.502403,0,mast_20250822_143816_263
0.3170479,-34.05682,0,mast_20250822_143817_254
10.916344,-41.543064,0,mast_20250822_143818_264
24.263624,-47.531868,0,mast_20250822_143819_252
30.730362,-41.60836,0,mast_20250822_143820_279
1.9914011,-31.83284,0,mast_20250822_143821_272
5.9301863,-36.967087,0,mast_20250822_143822_281
10.924138,-42.65143,0,mast_20250822_143823_272
22.124708,-46.577457,0,mast_20250822_143824_281
24.305536,-45.25159,0,mast_20250822_143825_268
32.650253,-41.126728,0,mast_20250822_143826_282
-0.363881,-33.59471,0,mast_20250822_143827_273
10.558584,-41.01643,0,mast_20250822_143828_268
21.77432,-47.467976,0,mast_20250822_143829_275
