File,Timestamp,Component,Prob,Status,dB,OCSVMScore,TopFreq1,TopFreq2,TopFreq3
elevator_20250730_145654_917.wav,2025-07-30T14:56:54,elevator,1.0,Normal,84.3,0.2,1093.4,898.9,781.0
elevator_20250730_145655_902.wav,2025-07-30T14:56:55,elevator,1.0,Normal,87.8,0.0,1119.9,912.4,809.0
elevator_20250730_145656_917.wav,2025-07-30T14:56:56,elevator,1.0,Normal,87.1,0.1,594.3,731.7,1101.1
elevator_20250730_145657_909.wav,2025-07-30T14:56:57,elevator,1.0,Normal,83.5,0.0,733.9,1120.2,1221.2
elevator_20250730_145658_926.wav,2025-07-30T14:56:58,elevator,1.0,Normal,87.0,0.1,730.4,832.5,1100.4
elevator_20250730_145659_926.wav,2025-07-30T14:56:59,elevator,1.0,Normal,87.7,0.1,567.0,731.7,2823.7
elevator_20250730_145700_930.wav,2025-07-30T14:57:00,elevator,1.0,Normal,84.5,0.1,745.7,1730.5,5658.5
elevator_20250730_145701_920.wav,2025-07-30T14:57:01,elevator,1.0,Normal,85.7,0.2,933.5,732.6,1155.6
elevator_20250730_145702_929.wav,2025-07-30T14:57:02,elevator,1.0,Normal,88.0,0.0,782.7,1169.0,673.3
elevator_20250730_145703_924.wav,2025-07-30T14:57:03,elevator,0.9,Normal,85.9,0.3,568.3,731.9,2866.5
elevator_20250730_145704_916.wav,2025-07-30T14:57:04,elevator,1.0,Normal,84.4,0.1,732.5,1094.9,963.9
elevator_20250730_145705_920.wav,2025-07-30T14:57:05,elevator,1.0,Normal,88.0,0.0,1078.7,734.5,960.3
elevator_20250730_145706_916.wav,2025-07-30T14:57:06,elevator,1.0,Normal,87.3,0.1,594.1,732.0,977.0
elevator_20250730_145707_923.wav,2025-07-30T14:57:07,elevator,1.0,Normal,83.4,0.0,738.6,1174.4,950.0
elevator_20250730_145708_916.wav,2025-07-30T14:57:08,elevator,1.0,Normal,86.9,0.0,905.9,1095.3,705.3
elevator_20250730_145709_904.wav,2025-07-30T14:57:09,elevator,1.0,Normal,87.8,0.0,592.6,731.4,3383.7
elevator_20250730_145710_913.wav,2025-07-30T14:57:10,elevator,1.0,Normal,84.6,0.2,584.7,732.1,1160.5
elevator_20250730_145711_906.wav,2025-07-30T14:57:11,elevator,1.0,Normal,85.8,-0.0,682.2,476.3,966.1
elevator_20250730_145712_913.wav,2025-07-30T14:57:12,elevator,1.0,Normal,88.0,0.0,829.4,1162.8,619.4
elevator_20250730_145713_923.wav,2025-07-30T14:57:13,elevator,1.0,Normal,85.9,0.1,594.4,731.8,976.0
elevator_20250730_145714_929.wav,2025-07-30T14:57:14,elevator,1.0,Normal,83.9,0.2,1095.9,894.8,734.5
elevator_20250730_145715_919.wav,2025-07-30T14:57:15,elevator,1.0,Normal,87.7,0.1,1083.0,720.8,823.1
elevator_20250730_145716_932.wav,2025-07-30T14:57:16,elevator,1.0,Normal,87.3,0.2,732.3,595.6,3407.1
elevator_20250730_145717_922.wav,2025-07-30T14:57:17,elevator,1.0,Normal,83.2,0.1,731.9,620.1,1171.7
elevator_20250730_145718_916.wav,2025-07-30T14:57:18,elevator,1.0,Normal,86.7,0.1,1121.2,827.6,406.7
elevator_20250730_145719_925.wav,2025-07-30T14:57:19,elevator,1.0,Normal,87.9,0.1,613.3,719.9,1118.3
elevator_20250730_145720_916.wav,2025-07-30T14:57:20,elevator,1.0,Normal,85.0,0.2,745.4,5665.7,1077.3
elevator_20250730_145721_922.wav,2025-07-30T14:57:21,elevator,1.0,Normal,85.6,0.2,719.5,427.8,1144.9
elevator_20250730_145722_912.wav,2025-07-30T14:57:22,elevator,1.0,Anomaly,88.1,,818.8,706.5,1167.9
elevator_20250730_145723_906.wav,2025-07-30T14:57:23,elevator,1.0,Normal,86.4,0.3,610.8,732.1,373.9
elevator_20250730_145724_914.wav,2025-07-30T14:57:24,elevator,1.0,Normal,84.0,0.1,823.7,995.5,1127.6
elevator_20250730_145725_907.wav,2025-07-30T14:57:25,elevator,1.0,Normal,87.6,0.0,613.0,1090.0,899.2
elevator_20250730_145726_917.wav,2025-07-30T14:57:26,elevator,1.0,Normal,87.3,0.1,595.2,3448.7,5794.5
elevator_20250730_145727_904.wav,2025-07-30T14:57:27,elevator,1.0,Normal,83.6,0.1,815.0,1131.8,588.4
elevator_20250730_145728_932.wav,2025-07-30T14:57:28,elevator,1.0,Normal,87.0,0.2,474.4,603.9,762.2
elevator_20250730_145729_924.wav,2025-07-30T14:57:29,elevator,1.0,Anomaly,88.1,,597.5,697.8,958.2
elevator_20250730_145730_929.wav,2025-07-30T14:57:30,elevator,1.0,Normal,85.1,0.2,585.4,732.0,1170.8
elevator_20250730_145731_921.wav,2025-07-30T14:57:31,elevator,1.0,Normal,85.6,0.0,676.2,974.5,1133.7
elevator_20250730_145732_933.wav,2025-07-30T14:57:32,elevator,1.0,Normal,87.9,-0.0,636.1,848.3,5670.0
elevator_20250730_145733_922.wav,2025-07-30T14:57:33,elevator,1.0,Normal,86.2,0.0,594.5,731.6,977.2
elevator_20250730_145734_911.wav,2025-07-30T14:57:34,elevator,1.0,Normal,83.7,0.2,906.5,1163.9,643.7
elevator_20250730_145735_919.wav,2025-07-30T14:57:35,elevator,1.0,Normal,87.6,0.1,936.3,1100.2,718.2
elevator_20250730_145736_913.wav,2025-07-30T14:57:36,elevator,1.0,Normal,87.7,0.1,733.0,621.5,3407.9
elevator_20250730_145737_923.wav,2025-07-30T14:57:37,elevator,1.0,Normal,84.0,0.2,1128.4,617.0,976.9
elevator_20250730_145738_912.wav,2025-07-30T14:57:38,elevator,1.0,Normal,86.8,0.2,748.4,979.5,640.0
elevator_20250730_145739_905.wav,2025-07-30T14:57:39,elevator,1.0,Anomaly,88.1,,611.8,780.7,3289.7
elevator_20250730_145740_915.wav,2025-07-30T14:57:40,elevator,1.0,Normal,85.2,0.0,608.2,2800.0,5674.3
elevator_20250730_145741_907.wav,2025-07-30T14:57:41,elevator,1.0,Normal,85.1,0.2,750.9,400.1,1132.6
elevator_20250730_145742_912.wav,2025-07-30T14:57:42,elevator,1.0,Normal,88.0,0.0,691.9,919.6,400.0
elevator_20250730_145743_924.wav,2025-07-30T14:57:43,elevator,1.0,Normal,86.7,0.3,594.5,732.0,2866.7
elevator_20250730_145744_929.wav,2025-07-30T14:57:44,elevator,1.0,Normal,84.0,0.1,1173.1,941.7,823.4
elevator_20250730_145745_920.wav,2025-07-30T14:57:45,elevator,1.0,Normal,87.4,0.1,731.5,1152.5,962.9
elevator_20250730_145746_926.wav,2025-07-30T14:57:46,elevator,1.0,Normal,87.5,0.0,568.1,731.8,3434.3
elevator_20250730_145747_919.wav,2025-07-30T14:57:47,elevator,1.0,Normal,84.2,-0.0,807.0,576.6,929.3
elevator_20250730_145748_915.wav,2025-07-30T14:57:48,elevator,1.0,Normal,86.5,0.2,699.5,901.1,479.3
elevator_20250730_145749_919.wav,2025-07-30T14:57:49,elevator,1.0,Anomaly,88.0,,603.6,3250.3,1065.7
elevator_20250730_145750_913.wav,2025-07-30T14:57:50,elevator,1.0,Normal,85.4,0.2,587.7,2759.3,1106.5
elevator_20250730_145751_922.wav,2025-07-30T14:57:51,elevator,1.0,Normal,85.2,0.0,705.3,972.5,1108.4
elevator_20250730_145752_914.wav,2025-07-30T14:57:52,elevator,1.0,Anomaly,88.0,,821.8,720.4,1095.2
elevator_20250730_145753_922.wav,2025-07-30T14:57:53,elevator,1.0,Normal,86.7,-0.0,594.4,731.9,3412.6
elevator_20250730_145754_917.wav,2025-07-30T14:57:54,elevator,1.0,Normal,83.5,0.1,747.9,910.0,1165.7
elevator_20250730_145755_907.wav,2025-07-30T14:57:55,elevator,1.0,Normal,87.4,0.1,1090.1,728.6,621.7
elevator_20250730_145756_911.wav,2025-07-30T14:57:56,elevator,1.0,Normal,87.7,0.1,732.0,3407.2,593.0
elevator_20250730_145757_909.wav,2025-07-30T14:57:57,elevator,1.0,Normal,84.0,0.1,732.3,1155.6,975.7
elevator_20250730_145758_927.wav,2025-07-30T14:57:58,elevator,1.0,Normal,86.4,0.1,476.4,585.9,836.8
elevator_20250730_145759_917.wav,2025-07-30T14:57:59,elevator,1.0,Anomaly,88.1,,625.9,763.9,2647.0
elevator_20250730_145800_926.wav,2025-07-30T14:58:00,elevator,1.0,Normal,85.5,0.0,612.1,732.5,2801.3
elevator_20250730_145801_923.wav,2025-07-30T14:58:01,elevator,1.0,Normal,84.9,0.1,1096.7,406.9,722.6
elevator_20250730_145802_932.wav,2025-07-30T14:58:02,elevator,1.0,Normal,88.0,0.1,816.8,1122.6,598.8
elevator_20250730_145803_921.wav,2025-07-30T14:58:03,elevator,1.0,Normal,86.8,0.2,621.3,731.5,2866.7
elevator_20250730_145804_913.wav,2025-07-30T14:58:04,elevator,1.0,Normal,83.6,0.1,732.1,1119.4
elevator_20250730_145805_917.wav,2025-07-30T14:58:05,elevator,1.0,Normal,87.3,0.1,960.7,734.0,620.0
elevator_20250730_145806_914.wav,2025-07-30T14:58:06,elevator,1.0,Normal,87.7,0.1,567.4,976.5,2841.0
elevator_20250730_145807_920.wav,2025-07-30T14:58:07,elevator,1.0,Normal,84.3,0.1,730.2,1732.9,427.6
elevator_20250730_145808_913.wav,2025-07-30T14:58:08,elevator,1.0,Normal,86.1,0.2,981.6,715.9,1100.3
elevator_20250730_145809_904.wav,2025-07-30T14:58:09,elevator,1.0,Anomaly,88.2,,728.6,600.7,2484.4
elevator_20250730_145810_916.wav,2025-07-30T14:58:10,elevator,1.0,Normal,85.9,0.2,589.1,732.1,2866.3
elevator_20250730_145811_909.wav,2025-07-30T14:58:11,elevator,1.0,Normal,84.7,0.1,1115.1,978.1,779.9
elevator_20250730_145812_916.wav,2025-07-30T14:58:12,elevator,1.0,Normal,88.0,0.0,732.0,1173.6,613.4
elevator_20250730_145813_938.wav,2025-07-30T14:58:13,elevator,1.0,Normal,87.0,0.0,594.5,732.5,3454.0
elevator_20250730_145814_932.wav,2025-07-30T14:58:14,elevator,1.0,Normal,83.4,-0.0,1126.0,809.9,983.3
environment_20250730_150715_482.wav,2025-07-30T15:07:15,environment,0.8,Normal,80.5,0.1,717.8,472.0,1103.6
environment_20250730_150716_490.wav,2025-07-30T15:07:16,environment,0.9,Normal,80.3,0.1,413.3,724.2,613.5
environment_20250730_150717_482.wav,2025-07-30T15:07:17,environment,0.9,Normal,80.8,0.1,471.0,716.2,1077.0
environment_20250730_150718_471.wav,2025-07-30T15:07:18,environment,0.9,Normal,81.0,0.1,707.8,1120.5,471.8
environment_20250730_150719_474.wav,2025-07-30T15:07:19,environment,1.0,Normal,80.8,0.1,430.9,710.3,602.1
environment_20250730_150720_481.wav,2025-07-30T15:07:20,environment,1.0,Normal,80.6,0.1,637.7,411.9,790.8
environment_20250730_150721_471.wav,2025-07-30T15:07:21,environment,1.0,Normal,80.6,0.1,427.7,710.8,578.8
environment_20250730_150722_483.wav,2025-07-30T15:07:22,environment,1.0,Normal,80.4,0.1,701.2,441.2,564.9
environment_20250730_150723_470.wav,2025-07-30T15:07:23,environment,1.0,Normal,80.5,0.0,401.2,710.4,573.6
environment_20250730_150724_471.wav,2025-07-30T15:07:24,environment,1.0,Normal,80.5,0.1,599.3,454.7,712.1
environment_20250730_150725_467.wav,2025-07-30T15:07:25,environment,0.9,Normal,80.9,0.1,583.7,402.0,704.7
environment_20250730_150726_463.wav,2025-07-30T15:07:26,environment,1.0,Normal,81.0,0.1,707.5,422.3,1076.6
environment_20250730_150727_468.wav,2025-07-30T15:07:27,environment,1.0,Normal,80.6,0.1,584.4,415.5,1082.6
environment_20250730_150728_467.wav,2025-07-30T15:07:28,environment,1.0,Normal,80.5,0.0,715.7,470.8,603.1
environment_20250730_150729_491.wav,2025-07-30T15:07:29,environment,1.0,Normal,80.4,0.0,607.7,718.3,439.1
environment_20250730_150730_482.wav,2025-07-30T15:07:30,environment,1.0,Normal,80.6,0.1,702.5,475.1,576.8
environment_20250730_150731_490.wav,2025-07-30T15:07:31,environment,1.0,Normal,80.8,0.1,403.9,718.9,615.3
environment_20250730_150732_483.wav,2025-07-30T15:07:32,environment,0.9,Normal,80.6,0.1,710.3,597.2,472.5
environment_20250730_150733_470.wav,2025-07-30T15:07:33,environment,0.9,Normal,80.5,0.1,492.8,734.6,1075.6
environment_20250730_150734_483.wav,2025-07-30T15:07:34,environment,0.9,Normal,80.6,0.1,707.6,476.0,1076.3
environment_20250730_150735_475.wav,2025-07-30T15:07:35,environment,1.0,Normal,80.7,0.1,710.8,474.8,1157.7
environment_20250730_150736_482.wav,2025-07-30T15:07:36,environment,1.0,Normal,80.7,0.1,571.5,447.9,706.4
environment_20250730_150737_475.wav,2025-07-30T15:07:37,environment,1.0,Normal,80.6,0.1,438.9,621.3
environment_20250730_150738_467.wav,2025-07-30T15:07:38,environment,0.9,Normal,80.7,0.1,471.6,706.5,586.7
environment_20250730_150739_470.wav,2025-07-30T15:07:39,environment,1.0,Normal,80.5,0.1,401.7,614.4,1074.0
environment_20250730_150740_466.wav,2025-07-30T15:07:40,environment,1.0,Normal,80.4,0.1,427.8,710.2,588.3
environment_20250730_150741_475.wav,2025-07-30T15:07:41,environment,0.8,Normal,80.9,0.1,413.8,609.1,1108.9
environment_20250730_150742_466.wav,2025-07-30T15:07:42,environment,1.0,Normal,81.1,0.1,411.1,711.0,586.9
environment_20250730_150743_457.wav,2025-07-30T15:07:43,environment,1.0,Normal,80.9,0.0,424.1,687.8,587.5
environment_20250730_150744_481.wav,2025-07-30T15:07:44,environment,1.0,Normal,80.6,0.1,475.8,636.8,1059.2
environment_20250730_150745_490.wav,2025-07-30T15:07:45,environment,0.9,Normal,80.5,0.1,502.9,640.1,402.8
environment_20250730_150746_477.wav,2025-07-30T15:07:46,environment,0.9,Normal,80.7,0.1,470.9,637.7,858.1
environment_20250730_150747_489.wav,2025-07-30T15:07:47,environment,0.9,Normal,80.7,0.1,447.8,647.5,827.7
environment_20250730_150748_486.wav,2025-07-30T15:07:48,environment,1.0,Normal,80.6,0.1,595.7,476.5,740.6
environment_20250730_150749_471.wav,2025-07-30T15:07:49,environment,1.0,Normal,80.5,0.1,498.3,718.9,1130.0
environment_20250730_150750_484.wav,2025-07-30T15:07:50,environment,1.0,Normal,80.5,0.1,716.8,474.0,588.1
environment_20250730_150751_473.wav,2025-07-30T15:07:51,environment,1.0,Normal,80.9,0.1,411.2,704.9,593.7
environment_20250730_150752_483.wav,2025-07-30T15:07:52,environment,1.0,Normal,81.0,0.0,710.3,471.4,597.9
environment_20250730_150753_474.wav,2025-07-30T15:07:53,environment,0.8,Normal,80.5,0.0,1068.3,439.3,696.5
environment_20250730_150754_467.wav,2025-07-30T15:07:54,environment,0.9,Normal,80.2,0.1,436.5,710.7,602.9
environment_20250730_150755_476.wav,2025-07-30T15:07:55,environment,1.0,Normal,80.5,0.1,573.3,679.9,433.6
environment_20250730_150756_464.wav,2025-07-30T15:07:56,environment,1.0,Normal,80.3,0.0,474.1,619.2,1082.1
environment_20250730_150757_475.wav,2025-07-30T15:07:57,environment,1.0,Normal,80.4,0.1,718.5,596.7,434.4
environment_20250730_150758_464.wav,2025-07-30T15:07:58,environment,1.0,Normal,80.8,0.1,472.8,693.4,1088.9
environment_20250730_150759_486.wav,2025-07-30T15:07:59,environment,1.0,Normal,81.0,0.1,699.5,1075.4,589.6
environment_20250730_150800_476.wav,2025-07-30T15:08:00,environment,1.0,Normal,81.1,0.1,586.4,1071.6,403.3
environment_20250730_150801_488.wav,2025-07-30T15:08:01,environment,1.0,Normal,80.7,0.0,476.5,614.4,1117.6
environment_20250730_150802_481.wav,2025-07-30T15:08:02,environment,1.0,Normal,80.7,0.1,473.0,778.1,618.9
environment_20250730_150803_474.wav,2025-07-30T15:08:03,environment,1.0,Normal,80.9,0.1,710.5,406.4,1076.9
environment_20250730_150804_481.wav,2025-07-30T15:08:04,environment,1.0,Normal,80.8,0.1,711.7,475.6,611.5
environment_20250730_150805_467.wav,2025-07-30T15:08:05,environment,1.0,Normal,80.8,0.1,405.9,1066.0,632.7
environment_20250730_150806_479.wav,2025-07-30T15:08:06,environment,1.0,Normal,80.7,0.1,443.8,583.0,710.9
environment_20250730_150807_471.wav,2025-07-30T15:08:07,environment,1.0,Normal,80.5,0.1,708.7,405.2,574.3
environment_20250730_150808_463.wav,2025-07-30T15:08:08,environment,1.0,Normal,80.2,0.1,686.4,473.1,1095.0
environment_20250730_150809_471.wav,2025-07-30T15:08:09,environment,1.0,Normal,80.4,0.0,710.5,504.7,1096.2
environment_20250730_150810_463.wav,2025-07-30T15:08:10,environment,1.0,Normal,80.9,0.1,416.8,588.8,701.6
environment_20250730_150811_474.wav,2025-07-30T15:08:11,environment,0.9,Normal,80.7,0.1,705.1,470.0,1055.2
environment_20250730_150812_462.wav,2025-07-30T15:08:12,environment,1.0,Normal,80.8,0.0,719.0,477.2
